Date / Time,Mode,Category,Sub category,Income/Expense,Debit/Credit
"Friday, January 1, 2021",CUB - online payment,Allowance,From dad,Income,8000
"Friday, January 1, 2021",CUB - online payment,Food,Snacks,Expense,85
"Sunday, January 3, 2021",CUB - online payment,Other,From dad,Income,500
"Sunday, January 3, 2021",CUB - online payment,Household,Stuffs,Expense,6667
"Sunday, January 3, 2021",CUB - online payment,Transportation,Metro,Expense,30
"Sunday, January 3, 2021",CUB - online payment,Food,Dinner,Expense,78
"Tuesday, January 12, 2021",CUB - online payment,Food,Lunch with company,Expense,1460
"Wednesday, January 13, 2021",CUB - online payment,Transportation,Rapido to pg,Expense,43
"Wednesday, January 13, 2021",CUB - online payment,Food,Dinner,Expense,66
"Thursday, January 14, 2021",CUB - online payment,Other,Gundan + prasanna,Income,340
"Friday, January 15, 2021",CUB - online payment,Other,From dad,Income,1500
"Friday, January 15, 2021",CUB - online payment,Food,Snacks,Expense,70
"Sunday, January 17, 2021",CUB - online payment,Food,Eve snack,Expense,1100
"Monday, January 18, 2021",CUB - online payment,Food,Lunch with company,Expense,148
"Monday, January 18, 2021",CUB - online payment,Food,Snack with preethi,Expense,59
"Monday, January 18, 2021",CUB - online payment,Food,Dinner,Expense,301.15
"Tuesday, January 19, 2021",CUB - online payment,Food,Lunch + chocolate for preethi,Expense,171
"Thursday, January 21, 2021",CUB - online payment,Other,From vicky,Income,200
"Thursday, January 21, 2021",CUB - online payment,Food,Snacks,Expense,37
"Thursday, January 21, 2021",CUB - online payment,Food,Lunch with company,Expense,188
"Saturday, January 23, 2021",CUB - online payment,Other,From dad,Income,2000
"Saturday, January 23, 2021",CUB - online payment,Food,Snacks with preethi and azar,Expense,176
"Saturday, January 23, 2021",CUB - online payment,apparel,Badminton,Expense,200
"Saturday, January 23, 2021",CUB - online payment,Other,From vicky,Income,310
"Monday, January 25, 2021",CUB - online payment,Food,Lemon tea,Expense,18
"Tuesday, January 26, 2021",CUB - online payment,Food,Paani poori,Expense,25
"Tuesday, January 26, 2021",CUB - online payment,Other,Vishnu 100 gowdham 25,Income,125
"Tuesday, January 26, 2021",CUB - online payment,Food,Snacks,Expense,115
"Wednesday, January 27, 2021",CUB - online payment,salary,office,Income,55000
"Wednesday, January 27, 2021",CUB - online payment,Food,Zinger box meal,Expense,279
"Wednesday, January 27, 2021",CUB - online payment,Other,To vishnu,Expense,1100
"Thursday, January 28, 2021",CUB - online payment,Food,Lunch with company,Expense,138
"Thursday, January 28, 2021",CUB - online payment,Food,Banana,Expense,10
"Friday, January 29, 2021",CUB - online payment,Other,Sent to barath,Expense,100
"Saturday, January 30, 2021",CUB - online payment,Food,Brunch,Expense,105
"Saturday, January 30, 2021",CUB - online payment,Food,Cycle gap ,Expense,120
"Saturday, January 30, 2021",CUB - online payment,Food,Dinner,Expense,155
"Sunday, January 31, 2021",CUB - online payment,Other,To vicky,Expense,200
"Monday, February 1, 2021",CUB - online payment,Transportation,Train to vnr,Expense,725
"Monday, February 1, 2021",CUB - online payment,Food,Dinner with barath,Expense,200
"Monday, February 1, 2021",CUB - online payment,Other,Tablet to gowdham,Expense,8
"Tuesday, February 2, 2021",CUB - online payment,Food,Parotta,Expense,120
"Wednesday, February 3, 2021",CUB - online payment,Food,Brownie,Expense,50
"Saturday, February 13, 2021",CUB - online payment,apparel,Games ,Expense,100
"Tuesday, February 16, 2021",CUB - online payment,Food,Kfc ,Expense,475
"Tuesday, February 16, 2021",CUB - online payment,Food,Side dishes,Expense,165
"Wednesday, February 17, 2021",CUB - online payment,Food,Lunch,Expense,80
"Thursday, February 18, 2021",CUB - online payment,Food,Kfc dinner,Expense,348
"Friday, February 19, 2021",CUB - online payment,Transportation,To egmore,Expense,2709
"Friday, February 19, 2021",CUB - online payment,Other,To auto anna,Expense,50
"Friday, February 19, 2021",CUB - online payment,Transportation,Metro,Expense,60
"Friday, February 19, 2021",CUB - online payment,Transportation,Bus ticket,Expense,1575
"Friday, February 19, 2021",CUB - online payment,Food,Snacks,Expense,250
"Friday, February 19, 2021",CUB - online payment,Food,Random stuff for drinks,Expense,111
"Saturday, February 20, 2021",CUB - online payment,Food,Lunch,Expense,200
"Sunday, February 21, 2021",CUB - online payment,Transportation,Train cbe to chn,Expense,201.8
"Sunday, February 21, 2021",CUB - online payment,Household,Stuffs,Expense,3336
"Sunday, February 21, 2021",CUB - online payment,Transportation,It better be worth it,Expense,1300
"Tuesday, February 23, 2021",CUB - online payment,Food,Eggs,Expense,83
"Tuesday, February 23, 2021",CUB - online payment,Apparel,Hoodie for gobi,Expense,3999
"Wednesday, February 24, 2021",CUB - online payment,Food,Creamstone,Expense,289
"Friday, February 26, 2021",CUB - online payment,Food,Tea lights,Expense,84
"Friday, February 26, 2021",CUB - online payment,Other,To karthi,Expense,100
"Saturday, February 27, 2021",CUB - online payment,Food,Lunch,Expense,243
"Sunday, February 28, 2021",CUB - online payment,salary,office,Income,55000
"Sunday, February 28, 2021",CUB - online payment,Food,Pizza,Expense,339.15
"Monday, March 1, 2021",CUB - online payment,Other,From abi,Income,300
"Monday, March 1, 2021",CUB - online payment,Food,Lunch unlimited nv,Expense,300
"Monday, March 1, 2021",CUB - online payment,Other,From shakur,Income,1140
"Monday, March 1, 2021",CUB - online payment,Other,From barath,Income,201
"Monday, March 1, 2021",CUB - online payment,Food,Dairy milk,Expense,10
"Tuesday, March 2, 2021",CUB - online payment,Other,To gowdham,Expense,150
"Tuesday, March 2, 2021",CUB - online payment,Food,Good soup,Expense,50
"Monday, March 15, 2021",CUB - online payment,Transportation,Bus to Bangalore,Expense,1365
"Sunday, March 21, 2021",CUB - online payment,salary,office,Income,55000
"Monday, March 22, 2021",CUB - online payment,Household,Stuffs,Expense,5120
"Tuesday, March 23, 2021",CUB - online payment,Apparel,Earphone,Expense,3997
"Wednesday, March 31, 2021",CUB - online payment,Transportation,To ksr station,Expense,153
"Thursday, April 1, 2021",CUB - online payment,Food,Sent to preethi,Expense,107
"Thursday, April 1, 2021",CUB - online payment,Other,To vicky,Expense,80
"Thursday, April 1, 2021",CUB - online payment,Food,Lunch with company,Expense,106
"Thursday, April 1, 2021",CUB - online payment,Education,Arrear and reval fee,Expense,14000
"Saturday, April 3, 2021",CUB - online payment,Other,To lended people,Expense,300
"Monday, April 19, 2021",CUB - online payment,Transportation,Took from sbi,Expense,200
"Monday, April 19, 2021",CUB - online payment,Food,Ramen with gobi,Expense,380
"Wednesday, April 21, 2021",CUB - online payment,Salary,office,Income,55000
"Thursday, April 22, 2021",CUB - online payment,Household,Stuffs,Expense,5180
"Thursday, April 22, 2021",CUB - online payment,Food,Shawarma,Expense,80
"Sunday, April 25, 2021",CUB - online payment,Transportation,Cab,Expense,306
"Saturday, May 1, 2021",CUB - online payment,Food,Lunch with company,Expense,388
"Saturday, May 1, 2021",CUB - online payment,Transportation,Refund for bus ticket,Expense,600
"Saturday, May 1, 2021",CUB - online payment,Other,To abijith and to vicky lend money returned,Expense,500
"Saturday, May 1, 2021",CUB - online payment,Other,To gobi 1st 1/4th,Expense,500
"Saturday, May 1, 2021",CUB - online payment,Other,Lended money returned to kumara,Expense,30
"Saturday, May 1, 2021",CUB - online payment,Food,Jan 2nd with shakur and barath,Expense,354
"Saturday, May 1, 2021",CUB - online payment,Other,Lended money returned to vishnu,Expense,40
"Tuesday, May 18, 2021",CUB - online payment,apparel,Spiderman ,Expense,1363.72
"Friday, May 21, 2021",CUB - online payment,salary,office,Income,55000
"Saturday, May 22, 2021",CUB - online payment,Household,Stuffs,Expense,5120
"Monday, May 31, 2021",CUB - online payment,Transportation,Vnr to apk,Expense,50
"Tuesday, June 1, 2021",CUB - online payment,Transportation,Rapido to pg,Expense,429
"Tuesday, June 1, 2021",CUB - online payment,Food,Bingo,Expense,10
"Tuesday, June 1, 2021",CUB - online payment,Food,Dinner with roommate,Expense,877.81
"Tuesday, June 1, 2021",CUB - online payment,Food,Ketch up,Expense,200
"Tuesday, June 1, 2021",CUB - online payment,Other,From barath and shakur,Income,440
"Wednesday, June 2, 2021",CUB - online payment,Other,To gobi,Expense,4500
"Wednesday, June 2, 2021",CUB - online payment,Transportation,To chennai,Expense,1000
"Wednesday, June 2, 2021",CUB - online payment,Food,To kumara,Expense,150
"Wednesday, June 2, 2021",CUB - online payment,Food,Cakepark,Expense,125
"Wednesday, June 2, 2021",CUB - online payment,Food,Dinner with aravind and buddies,Expense,491
"Monday, June 14, 2021",CUB - online payment,Food,Snacks,Expense,749
"Tuesday, June 22, 2021",CUB - online payment,Household,Stuffs,Expense,4120
"Tuesday, June 22, 2021",CUB - online payment,salary,office,Income,55000
"Thursday, July 1, 2021",CUB - online payment,Food,Coffee + biscuit,Expense,1599
"Friday, July 2, 2021",CUB - online payment,Transportation,Auto to Gobi's place,Expense,214
"Sunday, July 18, 2021",CUB - online payment,Other,To kumara,Expense,200
"Thursday, July 22, 2021",CUB - online payment,Household,Stuffs,Expense,4620
"Friday, July 23, 2021",CUB - online payment,Food,Lunch,Expense,302
"Saturday, July 24, 2021",CUB - online payment,apparel,Beer,Expense,1500
"Sunday, July 25, 2021",CUB - online payment,Food,Kfc date with myself,Expense,259
"Monday, July 26, 2021",CUB - online payment,salary,office,Income,55000
"Tuesday, July 27, 2021",CUB - online payment,Other,From vicky,Income,300
"Sunday, August 1, 2021",CUB - online payment,Household,Rent,Expense,4580
"Sunday, August 1, 2021",CUB - online payment,Food,Lunch with gowdham,Expense,535.3
"Sunday, August 1, 2021",CUB - online payment,Other,From gowdham,Income,260
"Monday, August 2, 2021",CUB - online payment,salary,office,Income,55000
"Monday, August 2, 2021",CUB - online payment,Other,From dad,Income,500
"Tuesday, August 17, 2021",CUB - online payment,Other,Gave to gowdham,Expense,50
"Saturday, August 21, 2021",CUB - online payment,Transportation,Travel to koyambedu,Expense,138
"Tuesday, August 24, 2021",CUB - online payment,Food,Tamen,Expense,324.7
"Thursday, August 26, 2021",CUB - online payment,Food,Snacks,Expense,40
"Friday, August 27, 2021",CUB - online payment,Transportation,Rapido to pg,Expense,43
"Monday, August 30, 2021",CUB - online payment,Other,From Deepak,Income,2250
"Thursday, September 2, 2021",CUB - online payment,Household,Bean bag,Expense,2099
"Friday, September 3, 2021",CUB - online payment,Other,From vicky,Income,100
"Tuesday, September 14, 2021",CUB - online payment,Other,Kumara,Income,170
"Thursday, September 23, 2021",CUB - online payment,Food,Sent to vicky,Expense,300
"Thursday, September 23, 2021",CUB - online payment,Food,Dinner,Expense,465
"Thursday, September 23, 2021",CUB - online payment,Food,Pepsi,Expense,40
"Friday, September 24, 2021",CUB - online payment,Food,Lunch with company,Expense,133
"Friday, September 24, 2021",CUB - online payment,salary,office,Income,55000
"Saturday, September 25, 2021",CUB - online payment,Transportation,Train to vnr,Expense,3325
"Monday, September 27, 2021",CUB - online payment,Other,To vicky,Expense,300
"Friday, October 1, 2021",CUB - online payment,Food,Friday snacks with preethi gang,Expense,106
"Friday, October 1, 2021",CUB - online payment,salary,office,Income,55140
"Friday, October 1, 2021",CUB - online payment,Other,From barath,Income,201
"Saturday, October 2, 2021",CUB - online payment,Household,Bean bag,Expense,2099
"Saturday, October 2, 2021",CUB - online payment,Food,Kfc dinner,Expense,641
"Thursday, October 14, 2021",CUB - online payment,Food,Panipoori,Expense,80
"Saturday, October 16, 2021",CUB - online payment,Food,Milk with bharath,Expense,110
"Monday, October 18, 2021",CUB - online payment,Other,To kumara,Expense,10000
"Wednesday, October 27, 2021",CUB - online payment,Other,From ganesan,Income,40
"Saturday, October 30, 2021",CUB - online payment,Other,From abi,Income,20
"Saturday, October 30, 2021",CUB - online payment,Transportation,Rapido + toll,Expense,286
"Saturday, October 30, 2021",CUB - online payment,Transportation,Bommasandra to pg,Expense,199
